City,Date,lat,lon
Palo Cedro,5/12/2010,40.5637631,-122.2388916
Livermore,5/12/2010,37.6818745,-121.7680088
Tujunga,5/13/2010,34.2586812,-118.288508
Temecula,5/14/2010,33.4936391,-117.1483648
Bloomington,5/16/2010,34.07029,-117.3958797
EL Cerrito,5/19/2010,37.9161326,-122.310765
Chino,5/20/2010,34.0122346,-117.688944
San Jose,5/21/2010,37.3382082,-121.8863286
Riverside,5/21/2010,33.9533487,-117.3961564
San Francisco,5/22/2010,37.7749295,-122.4194155
Los Gatos,5/23/2010,37.2358078,-121.9623751
Los Angeles,5/25/2010,34.0522342,-118.2436849
La Mesa,5/25/2010,32.7678287,-117.0230839
Santa Ana,5/26/2010,33.7455731,-117.8678338
Claremont,5/26/2010,34.0966764,-117.7197785
Norwalk,5/26/2010,33.9022367,-118.081733
Palmdale,5/27/2010,34.5794343,-118.1164613
Apple Valley,5/27/2010,34.5008311,-117.1858759
Ventura,5/27/2010,34.274646,-119.2290316
Patterson,5/28/2010,37.4716001,-121.129656
Commerce,5/29/2010,34.0005691,-118.1597929
Santa Cruz,5/29/2010,36.9741171,-122.0307963
Granite Bay,5/30/2010,38.7632345,-121.1638361
Thousand Oaks,5/31/2010,34.1705609,-118.8375937
Anaheim Hills,6/2/2010,33.8508021,-117.7490656
Hollywood,6/2/2010,34.0928092,-118.3286614
Happy Valley,6/2/2010,40.4505502,-122.4053018
Modesto,6/2/2010,37.6390972,-120.9968782
Anaheim,6/3/2010,33.8352932,-117.9145036
Sacramento,6/5/2010,38.5815719,-121.4943996
Lake Elsinore,6/6/2010,33.6680772,-117.3272615
Lake Elsinore,6/6/2010,33.6680772,-117.3272615
Montclair,6/6/2010,34.0775104,-117.6897776
Merced,6/6/2010,37.3021632,-120.4829677
Banning,6/7/2010,33.9255713,-116.8764103
San Diego,6/7/2010,32.715738,-117.1610838
Visalia,6/9/2010,36.3302284,-119.2920585
Pico Rivera,6/10/2010,33.9830688,-118.096735
Red Bluff - Dribble Creek Subdivision,6/10/2010,36.778261,-119.4179324
Verdi,6/12/2010,39.5183106,-119.9887669
San Jacinto,6/12/2010,33.7839084,-116.958635
Indio,6/12/2010,33.7205771,-116.2155619
Hesperia,6/13/2010,34.4263886,-117.3008784
Irvine,6/14/2010,33.6839473,-117.7946942
Burbank,6/14/2010,34.1808392,-118.3089661
Huntington Beach,6/14/2010,33.660297,-117.9992265
Placentia,6/15/2010,33.8722371,-117.8703363
Los Banos,6/16/2010,37.0582786,-120.8499151
Riverside,6/17/2010,33.9533487,-117.3961564
Stockton,6/18/2010,37.9577016,-121.2907796
Pebble Beach (U. S. Open tournament),6/19/2010,36.778261,-119.4179324
Laguna Niguel,6/19/2010,33.5225261,-117.7075526
Napa,6/20/2010,38.2975381,-122.286865
Glendale,6/21/2010,34.1425078,-118.255075
Carlsbad,6/21/2010,33.1580933,-117.3505939
Petaluma,6/21/2010,38.232417,-122.6366524
Upland,6/22/2010,34.09751,-117.6483876
Fresno,6/24/2010,36.7468422,-119.7725868
Redding,6/24/2010,40.5865396,-122.3916754
Palmdale,6/25/2010,34.5794343,-118.1164613
Carlsbad,6/26/2010,33.1580933,-117.3505939
San Diego,6/26/2010,32.715738,-117.1610838
Hat Creek,6/27/2010,40.8304382,-121.5135921
Monterey,6/27/2010,36.6002378,-121.8946761
Garberville,6/30/2010,40.1000828,-123.79492
Bakersfield,6/30/2010,35.3732921,-119.0187125
Ranchita,6/30/2010,33.2100397,-116.5166835
South San Jose,7/1/2010,37.2802362,-121.8362479
Rosemead,7/1/2010,34.0805651,-118.072846
Ridgecrest,7/1/2010,35.6224561,-117.6708966
Palmdale,7/1/2010,34.5794343,-118.1164613
Carson,7/1/2010,33.8316745,-118.281693
Clovis,7/2/2010,36.8252277,-119.7029194
Lemoore,7/3/2010,36.3007835,-119.7829107
Rohnert Park,7/3/2010,38.3396367,-122.7010984
Riverside,7/3/2010,33.9533487,-117.3961564
Highland,7/4/2010,34.1283442,-117.2086513
Irvine,7/4/2010,33.6839473,-117.7946942
Lodi,7/4/2010,38.1341477,-121.2722194
Irvine,7/4/2010,33.6839473,-117.7946942
Rancho Santa Margarita,7/4/2010,33.640855,-117.603104
Indio,7/4/2010,33.7205771,-116.2155619
Selma,7/4/2010,36.5707838,-119.6120765
Rio Linda,7/4/2010,38.6910138,-121.4485654
Huntington Beach,7/4/2010,33.660297,-117.9992265
Orland,7/4/2010,39.7473803,-122.1963748
Ridgecrest,7/5/2010,35.6224561,-117.6708966
Truckee,7/7/2010,39.327962,-120.1832533
Redding,7/8/2010,40.5865396,-122.3916754
Antioch,7/9/2010,38.0049214,-121.805789
Oakland,7/9/2010,37.8043637,-122.2711137
Buellton,7/9/2010,34.613597,-120.1926505
Marina del Rey,7/9/2010,33.9802893,-118.4517449
Gilroy,7/9/2010,37.0057816,-121.5682751
Sylmar,7/10/2010,34.3058279,-118.4571974
Ceres,7/11/2010,37.5949316,-120.9577098
Alameda,7/11/2010,37.7652065,-122.2416355
Burbank,7/12/2010,34.1808392,-118.3089661
Tracy,7/12/2010,37.7396513,-121.4252227
